,KPI Source/Customer,Measure,score_mean,score_median,score_mode,score_quartile_1,score_quartile_2,score_quartile_3,score_min,score_max,measure_value_mean,measure_value_median,measure_value_mode,measure_value_quartile_1,measure_value_quartile_2,measure_value_quartile_3,measure_value_min,measure_value_max,KPI Source
163,Lummus Technology Inc,Critical CI P1 Tickets for Delivery Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Delivery Business Process
164,Lummus Technology Inc,Critical CI P1 Tickets for Engineering Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Information Technology Business Process
165,Lummus Technology Inc,Critical CI P1 Tickets for Finance Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Finance Business Process
166,Lummus Technology Inc,Critical CI P1 Tickets for People (HR) Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for People (HR ) Business Process
167,Lummus Technology Inc,Critical CI P1 Tickets for Quality Management Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Quality Management Business Process
168,Lummus Technology Inc,Critical CI P1 Tickets for Sales Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Sales Business Process 
169,Lummus Technology Inc,Critical CI P1 Tickets for Service Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P1 Tickets for Service Business Process
170,Lummus Technology Inc,Critical CI P2 Tickets for Accounting Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Accounting Business Process
171,Lummus Technology Inc,Critical CI P2 Tickets for Delivery Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Delivery Business Process
172,Lummus Technology Inc,Critical CI P2 Tickets for Engineering Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Information Technology Business Process
173,Lummus Technology Inc,Critical CI P2 Tickets for Finance Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Finance Business Process
174,Lummus Technology Inc,Critical CI P2 Tickets for People (HR) Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for People (HR) Business Process
175,Lummus Technology Inc,Critical CI P2 Tickets for Quality Management Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Quality Management Business Process
176,Lummus Technology Inc,Critical CI P2 Tickets for Sales Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Sales Business Process 
177,Lummus Technology Inc,Critical CI P2 Tickets for Service Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P2 Tickets for Service Business Process
178,Lummus Technology Inc,Critical CI P3 Tickets for Accounting Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Accounting Business Process
179,Lummus Technology Inc,Critical CI P3 Tickets for Delivery Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Delivery Business Process
180,Lummus Technology Inc,Critical CI P3 Tickets for Engineering Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Information Technology Business Process
181,Lummus Technology Inc,Critical CI P3 Tickets for Finance Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Finance Business Process
182,Lummus Technology Inc,Critical CI P3 Tickets for People (HR) Business Process,41.37931034482759,0.0,0.0,0.0,0.0,100.0,0.0,100.0,58.62068965517241,100.0,100.0,0.0,100.0,100.0,0.0,100.0,Weighted P3 Tickets for People (HR) Business Process
183,Lummus Technology Inc,Critical CI P3 Tickets for Quality Management Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Quality Management Business Process
184,Lummus Technology Inc,Critical CI P3 Tickets for Sales Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Sales Business Process 
185,Lummus Technology Inc,Critical CI P3 Tickets for Service Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Service Business Process
186,Lummus Technology Inc,Critical CI P4 Tickets for Accounting Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P4 Tickets for Accounting Business Process
187,Lummus Technology Inc,Critical CI P4 Tickets for Delivery Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P4 Tickets for Delivery Business Process
188,Lummus Technology Inc,Critical CI P4 Tickets for Engineering Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P4 Tickets for Information Technology Business Process
189,Lummus Technology Inc,Critical CI P4 Tickets for Finance Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weigthed P4 Tickets for Finance Business Process
190,Lummus Technology Inc,Critical CI P4 Tickets for People (HR) Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P4 Tickets for People (HR) Business Process
191,Lummus Technology Inc,Critical CI P4 Tickets for Quality Management Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P4 Tickets for Quality Management Business Process
192,Lummus Technology Inc,Critical CI P4 Tickets for Sales Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P4 Tickets for Sales Business Process 
193,Lummus Technology Inc,Critical CI P4 Tickets for Service Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P4 Tickets for Service Business Process
194,Lummus Technology Inc,Crowdscore,81.60919540229887,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.28575467821144074,0.0,0.0,0.0,0.0,0.18663194444444442,0.0,6.593103448275862,CrowdScore
195,Lummus Technology Inc,Devices not seen +30d Auvik,24.82758620689655,0.0,0.0,0.0,0.0,60.0,0.0,60.0,19.391161776666355,0.0,0.0,0.0,0.0,35.14644351464435,0.0,51.2893982808023,Devices not seen +30d
196,Lummus Technology Inc,Devices not seen +30d Crowdstrike,50.0,50.0,0.0,0.0,50.0,100.0,0.0,100.0,0.7011007020539416,0.4811250925240563,0.0,0.0,0.4811250925240563,1.3962324379079558,0.0,1.901140684410646,Devices not seen +30d
