,Customer,KPI Source,mean,median,mode,quartile_1,quartile_2,quartile_3,min,max
73,Lummus Technology Inc,Documented Events,67.23484848484848,66.66666666666667,100.0,50.0,66.66666666666667,100.0,16.66666666666667,100.0
74,Lummus Technology Inc,Finished Scans,90.65656565656568,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,100.0
75,Lummus Technology Inc,Firewall Availability,96.5909090909091,100.0,100.0,100.0,100.0,100.0,0.0,100.0
76,Lummus Technology Inc,Handle Time,85.79545454545455,100.0,100.0,83.33333333333333,100.0,100.0,0.0,100.0
77,Lummus Technology Inc,Identity Secure Score,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
78,Lummus Technology Inc,Infrastructure availability,92.5,100.0,100.0,80.0,100.0,100.0,0.0,100.0
79,Lummus Technology Inc,Internal Answered Surveys Percentage Weekly,17.22488038277512,9.090909090909092,0.0,0.0,9.090909090909092,18.18181818181818,0.0,100.0
80,Lummus Technology Inc,Internal Ticket Oldest (Age),3.326810176125245,4.761904761904762,4.761904761904762,0.0,4.761904761904762,4.761904761904762,0.0,4.761904761904762
81,Lummus Technology Inc,Internal Ticket Oldest (duration),66.57534246575342,80.0,100.0,0.0,80.0,100.0,0.0,100.0
82,Lummus Technology Inc,Managed Answered Surveys Percentage Weekly,14.910933660933662,9.090909090909092,0.0,0.0,9.090909090909092,30.397727272727273,0.0,100.0
83,Lummus Technology Inc,Managed Supporter Ticket Oldest (Age),0.13256738842244806,0.0,0.0,0.0,0.0,0.0,0.0,3.225806451612903
84,Lummus Technology Inc,Managed Supporter Ticket Oldest (duration),24.162861491628618,2.777777777777778,0.0,0.0,2.777777777777778,58.33333333333334,0.0,72.22222222222223
85,Lummus Technology Inc,Modified Tickets Daily (Percentage),66.0894660894661,77.77777777777777,100.0,42.85714285714285,77.77777777777777,100.0,0.0,100.0
86,Lummus Technology Inc,Network Devices Availability N-Able,76.27118644067797,100.0,100.0,100.0,100.0,100.0,0.0,100.0
87,Lummus Technology Inc,Oldest Open Ticket,17.14285714285714,17.14285714285714,17.14285714285714,17.14285714285714,17.14285714285714,17.14285714285714,17.14285714285714,17.14285714285714
88,Lummus Technology Inc,Open Tickets with 3w+ (Percentage),45.38812785388128,44.44444444444444,0.0,6.666666666666667,44.44444444444444,77.77777777777777,0.0,100.0
89,Lummus Technology Inc,Patch Status,76.27118644067797,100.0,100.0,100.0,100.0,100.0,0.0,100.0
90,Lummus Technology Inc,Patch management,33.56164383561644,0.0,0.0,0.0,0.0,100.0,0.0,100.0
91,Lummus Technology Inc,Protected Devices,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
92,Lummus Technology Inc,Quality Service Desk,55.3409090909091,53.33333333333334,43.33333333333334,43.33333333333334,53.33333333333334,60.0,20.0,100.0
93,Lummus Technology Inc,Reaction Time Azure,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
94,Lummus Technology Inc,Reaction time,87.41477272727273,100.0,100.0,65.0,100.0,100.0,17.5,100.0
95,Lummus Technology Inc,Resolution SLA,63.00505050505051,66.66666666666667,77.77777777777777,55.55555555555556,66.66666666666667,77.77777777777777,0.0,100.0
96,Lummus Technology Inc,Response SLA,93.93939393939395,100.0,100.0,88.88888888888889,100.0,100.0,0.0,100.0
97,Lummus Technology Inc,Response Time +60m,43.78582202111614,50.0,50.0,30.76923076923077,50.0,53.84615384615385,0.0,100.0
98,Lummus Technology Inc,Router Availability,94.31818181818181,100.0,100.0,100.0,100.0,100.0,0.0,100.0
99,Lummus Technology Inc,SQL Server Cloud Availability,70.95959595959596,77.77777777777777,100.0,77.77777777777777,77.77777777777777,100.0,0.0,100.0
100,Lummus Technology Inc,SQL Server OP Availability,58.333333333333336,77.77777777777777,77.77777777777777,58.33333333333333,77.77777777777777,77.77777777777777,0.0,77.77777777777777
101,Lummus Technology Inc,Satisfied and Dissatisfied Surveys,96.81818181818181,100.0,100.0,100.0,100.0,100.0,60.0,100.0
102,Lummus Technology Inc,Server Availability,76.27118644067797,100.0,100.0,100.0,100.0,100.0,0.0,100.0
103,Lummus Technology Inc,Servers Cloud Availibility,83.14393939393939,98.33333333333334,100.0,85.0,98.33333333333334,100.0,0.0,100.0
104,Lummus Technology Inc,Servers Cloud Performance,40.98360655737706,55.55555555555556,55.55555555555556,0.0,55.55555555555556,55.55555555555556,0.0,55.55555555555556
105,Lummus Technology Inc,Servers OP Availability,79.6174863387978,95.55555555555556,95.55555555555556,95.55555555555556,95.55555555555556,95.55555555555556,0.0,100.0
106,Lummus Technology Inc,Servers OP Performance,62.62295081967213,73.33333333333333,73.33333333333333,71.11111111111111,73.33333333333333,73.33333333333333,0.0,100.0
107,Lummus Technology Inc,Service Desk numbers,73.99249188311688,76.25,76.25,72.36979166666666,76.25,78.38169642857143,46.66666666666667,94.16666666666667
108,Lummus Technology Inc,Stack Availability,98.86363636363636,100.0,100.0,100.0,100.0,100.0,0.0,100.0
109,Lummus Technology Inc,Survey's score,58.35443037974684,80.0,100.0,25.0,80.0,100.0,0.0,100.0
110,Lummus Technology Inc,Switch Availability,98.86363636363636,100.0,100.0,100.0,100.0,100.0,0.0,100.0
111,Lummus Technology Inc,Telecommunications Availability,98.86363636363636,100.0,100.0,100.0,100.0,100.0,0.0,100.0
112,Lummus Technology Inc,Ticket Age,74.13825757575756,100.0,100.0,58.33333333333334,100.0,100.0,0.0,100.0
113,Lummus Technology Inc,Ticket Churn,72.5,80.0,80.0,60.0,80.0,80.0,0.0,100.0
114,Lummus Technology Inc,True Positive Detections,51.136363636363654,33.33333333333334,33.33333333333334,33.33333333333334,33.33333333333334,100.0,0.0,100.0
115,Lummus Technology Inc,Unsecure Logins,95.9090909090909,100.0,100.0,100.0,100.0,100.0,75.0,100.0
116,Lummus Technology Inc,Utilization Access Point,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
117,Lummus Technology Inc,Utilization Controller,84.75568181818181,83.25,83.25,83.25,83.25,83.25,74.75,100.0
118,Lummus Technology Inc,Utilization Firewall,73.48295454545455,74.75,74.75,66.5,74.75,74.75,66.5,100.0
119,Lummus Technology Inc,Utilization Router,76.42045454545455,75.0,75.0,75.0,75.0,75.0,75.0,100.0
120,Lummus Technology Inc,Utilization Stack,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
121,Lummus Technology Inc,Utilization Switch,84.20170454545455,83.25,83.25,83.25,83.25,83.25,83.25,100.0
122,Lummus Technology Inc,Utilization Telecommunications,76.1846590909091,74.75,74.75,74.75,74.75,74.75,74.75,100.0
123,Lummus Technology Inc,Virtual Machines Availability,98.86363636363636,100.0,100.0,100.0,100.0,100.0,0.0,100.0
124,Lummus Technology Inc,Vulnerability management,78.25126262626263,77.77777777777777,75.0,75.0,77.77777777777777,83.33333333333333,75.0,83.33333333333333
125,Lummus Technology Inc,Warranty Expired Devices,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
126,Lummus Technology Inc,Weighted P1 Tickets for Accounting Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
127,Lummus Technology Inc,Weighted P1 Tickets for Delivery Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
128,Lummus Technology Inc,Weighted P1 Tickets for Finance Business Process,97.04545454545455,100.0,100.0,100.0,100.0,100.0,50.0,100.0
129,Lummus Technology Inc,Weighted P1 Tickets for Information Technology Business Process,77.1590909090909,80.0,100.0,50.0,80.0,100.0,50.0,100.0
130,Lummus Technology Inc,Weighted P1 Tickets for People (HR ) Business Process,97.1590909090909,100.0,100.0,100.0,100.0,100.0,50.0,100.0
131,Lummus Technology Inc,Weighted P1 Tickets for Quality Management Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
132,Lummus Technology Inc,Weighted P1 Tickets for Sales Business Process ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
133,Lummus Technology Inc,Weighted P1 Tickets for Service Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
134,Lummus Technology Inc,Weighted P2 Tickets for Accounting Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
135,Lummus Technology Inc,Weighted P2 Tickets for Delivery Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
136,Lummus Technology Inc,Weighted P2 Tickets for Finance Business Process,97.5,100.0,100.0,100.0,100.0,100.0,50.0,100.0
137,Lummus Technology Inc,Weighted P2 Tickets for Information Technology Business Process,68.4090909090909,70.0,50.0,50.0,70.0,72.5,50.0,100.0
138,Lummus Technology Inc,Weighted P2 Tickets for People (HR) Business Process,96.25,100.0,100.0,100.0,100.0,100.0,50.0,100.0
139,Lummus Technology Inc,Weighted P2 Tickets for Quality Management Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
140,Lummus Technology Inc,Weighted P2 Tickets for Sales Business Process ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
141,Lummus Technology Inc,Weighted P2 Tickets for Service Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
142,Lummus Technology Inc,Weighted P3 Tickets for Accounting Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
143,Lummus Technology Inc,Weighted P3 Tickets for Delivery Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
144,Lummus Technology Inc,Weighted P3 Tickets for Finance Business Process,97.27272727272727,100.0,100.0,100.0,100.0,100.0,50.0,100.0
145,Lummus Technology Inc,Weighted P3 Tickets for Information Technology Business Process,67.72727272727273,70.0,70.0,70.0,70.0,70.0,50.0,70.0
146,Lummus Technology Inc,Weighted P3 Tickets for People (HR) Business Process,76.70454545454545,70.0,70.0,70.0,70.0,100.0,20.0,100.0
147,Lummus Technology Inc,Weighted P3 Tickets for Quality Management Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
148,Lummus Technology Inc,Weighted P3 Tickets for Sales Business Process ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
149,Lummus Technology Inc,Weighted P3 Tickets for Service Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
150,Lummus Technology Inc,Weighted P4 Tickets for Accounting Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
151,Lummus Technology Inc,Weighted P4 Tickets for Delivery Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
152,Lummus Technology Inc,Weighted P4 Tickets for Information Technology Business Process,83.18181818181819,80.0,80.0,80.0,80.0,100.0,50.0,100.0
153,Lummus Technology Inc,Weighted P4 Tickets for People (HR) Business Process,84.43181818181819,80.0,80.0,80.0,80.0,80.0,50.0,100.0
154,Lummus Technology Inc,Weighted P4 Tickets for Quality Management Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
155,Lummus Technology Inc,Weighted P4 Tickets for Sales Business Process ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
156,Lummus Technology Inc,Weighted P4 Tickets for Service Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
157,Lummus Technology Inc,Weigthed P4 Tickets for Finance Business Process,88.18181818181819,80.0,80.0,80.0,80.0,100.0,50.0,100.0
158,UG2,Abandonment Rate Daily,93.18181818181819,100.0,100.0,100.0,100.0,100.0,0.0,100.0
159,UG2,Active Detections Crowdstrike,3.5,0.0,0.0,0.0,0.0,0.0,0.0,40.0
160,UG2,Answering Speed Time Daily,82.04545454545455,100.0,100.0,100.0,100.0,100.0,0.0,100.0
161,UG2,Applications Service Management,97.50757575757576,100.0,100.0,93.33333333333334,100.0,100.0,88.0,100.0
162,UG2,Azure Advisor Scores (weighted),54.27398989898988,69.44444444444444,69.44444444444444,22.22222222222222,69.44444444444444,69.44444444444444,0.0,75.0
163,UG2,Azure Advisor Security Score,39.97777777777778,44.44444444444444,44.44444444444444,22.22222222222222,44.44444444444444,44.44444444444444,0.0,91.2
164,UG2,Azure Recommendations,65.54545454545455,66.0,66.0,52.24999999999999,66.0,83.0,34.66666666666666,100.0
165,UG2,Call SLA Performance Daily,23.53896103896104,20.0,20.0,20.0,20.0,22.142857142857142,0.0,100.0
166,UG2,Cost MTD Trend,86.46428571428572,100.0,100.0,80.0,100.0,100.0,0.0,100.0
167,UG2,CrowdScore,85.22727272727273,100.0,100.0,100.0,100.0,100.0,0.0,100.0
